,sta0_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta2_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta6,training_time_sta6,host_consumption_sta2,training_time_sta2,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta3,consumption_sta1,consumption_sta5,consumption_sta7,consumption_sta0,consumption_sta6,mean_acc,host_consumption_sta10,training_time_sta10,host_consumption_sta9,training_time_sta9
30,,,,,,,,,,,,9.462150672666216e-08,70589663.0,0.6634294986724854,68899176.0,0.6154985427856445,96213865.0,0.9391946792602539,124727097.0,1.2266430854797363,126330182.0,1.2345716953277588,,,133272303.0,1.373521327972412,154098483.0,1.9636178016662598,155018097.0,1.9583008289337158,13482.991447620458,11486.737135901527,12537.668240796624,13011.064896622836,12082.16053555503,10195.60252800152,9383.648630219981,10862.211224234836,9581.427522656357,9946.312539260007,11475.060778428013,0.9524342580275102,,,144822933.0,1.740823745727539
31,,,,,,,,,,,,1.2112292908646454e-07,72463254.0,0.657646656036377,77962813.0,0.6713857650756836,104809302.0,0.9634191989898682,,,136778946.0,1.231842279434204,,,101132371.0,0.9250342845916748,140853948.0,1.2711341381072998,145838372.0,1.3353238105773926,13867.15176719675,11919.401012997916,12966.605200010075,13269.866416491695,12503.541352501232,10457.075247014955,9528.741003506046,11201.133240326448,9895.277521631991,10124.139083233516,11942.708907321194,0.9545689550313082,139824715.0,1.2680532932281494,157403955.0,1.731273889541626
32,,,,,,,,,,,,9.834431385358981e-08,,,59789092.0,0.6528356075286865,76697802.0,0.8973231315612793,129037023.0,1.8911151885986328,,,,,113056046.0,1.440896987915039,130671724.0,2.007915496826172,103882913.0,1.2428467273712158,14325.5870633142,12144.792857258419,13230.01572578005,13667.545748456087,12758.876664417865,10776.420924536122,9749.408003743732,11611.801596170639,10102.365448975796,10365.669796505206,12198.064274905779,0.9553817348046736,100344531.0,1.2074756622314453,120433957.0,1.7277047634124756
33,,,,,,,,,,,,8.623741734032893e-08,82056736.0,0.7484512329101562,85453151.0,0.7398195266723633,113847120.0,1.0505950450897217,158783041.0,1.4497625827789307,152531104.0,1.3618144989013672,169391900.0,1.6269738674163818,109187221.0,1.002774715423584,154014376.0,1.3736011981964111,182509604.0,1.9723296165466309,14735.927337635823,12469.520253870354,13699.219109879226,14003.235248340185,13168.930266403824,11064.416125408508,9976.81914434237,11958.701609675361,10365.454039656977,10757.334945577742,12537.973795309374,0.9565769921649586,,,167604612.0,1.6481783390045166
34,,,,,,,,,,,,9.785873390367969e-08,83853301.0,0.7533400058746338,91722361.0,0.7751955986022949,113248184.0,1.0321071147918701,179283538.0,1.9704177379608154,156822841.0,1.3965942859649658,162027845.0,1.4810681343078613,118643068.0,1.048689603805542,150188520.0,1.3198771476745605,180056302.0,2.0175793170928955,15023.790289437144,12846.462214809517,14118.4786006054,14334.452499467086,13580.066398419052,11297.402939506957,10240.32538738213,12176.53364104922,10749.208616787982,11035.387490731773,12980.015257824265,0.9580303430557251,153294834.0,1.3506486415863037,,
35,,,,,,,,,,,,9.468750785556447e-08,65671706.0,0.6314082145690918,76883226.0,0.6940195560455322,103958719.0,1.019562005996704,173106552.0,1.9802014827728271,161444594.0,1.6804530620574951,162297558.0,1.7022616863250732,148084216.0,1.5042974948883057,171534473.0,1.9928302764892578,146404227.0,1.45186185836792,15518.458228838754,13187.6655776483,14391.721187738098,14857.237218629069,13987.18220241067,11624.530764096544,10583.065233218435,12498.230391074369,11128.519922277339,11318.600067222453,13379.289782055976,0.9600400274450128,,,158447897.0,1.6453752517700195
36,,,,,,,,,,,,8.956921627905547e-08,72879208.0,0.6631960868835449,77817183.0,0.6673116683959961,114010328.0,1.0492632389068604,147497242.0,1.371086597442627,162040540.0,1.6455140113830566,162186413.0,1.6240997314453125,104671119.0,0.9566659927368164,146224662.0,1.3367068767547607,173879743.0,1.9941375255584717,16016.304299860913,13409.266622872798,14874.766422306042,15252.112038707839,14270.81755206995,11918.330450913976,10849.716760559086,12853.204569142661,11286.247512056934,11673.093274098885,13723.739937841952,0.9611345854672518,141457829.0,1.290060043334961,,
37,,,,,,,,,,,,1.0495570094083368e-07,,,59050813.0,0.6019961833953857,137520217.0,1.4547967910766602,159756549.0,1.9389467239379883,,,137681838.0,1.4356000423431396,135686665.0,1.4249505996704102,132861110.0,1.331162929534912,161180678.0,1.9990732669830322,16286.906952489688,13736.292628349296,15372.947963123637,15524.979653900475,14730.14211426914,12179.888294816166,11120.090410277171,13041.115914200367,11520.719427868977,12063.055900568153,13948.473455994477,0.962083019993522,115995309.0,1.136704444885254,146079521.0,1.6011219024658203
38,,,,,,,,,,,,6.796621062777054e-08,32803871.0,0.46444129943847656,,,,,99192373.0,1.806835651397705,,,89577834.0,1.4525258541107178,84393216.0,1.3509337902069092,,,,,16670.227424759272,13984.953917561963,15649.432260433223,15906.85400465318,15019.917473092355,12516.355185518889,11365.61708620325,13353.702448162361,11838.069151587712,12220.530155849037,14274.60323741146,0.9630623134699735,64065876.0,0.9452996253967285,83572357.0,1.312485694885254
39,,,,,,,,,,,,1.0228365814134452e-07,67137584.0,0.6245250701904297,76893907.0,0.6652615070343018,102303205.0,0.9618930816650391,137888136.0,1.2780051231384277,142550050.0,1.3064353466033936,144040220.0,1.3531105518341064,,,168314877.0,1.9779791831970215,169216974.0,1.9619908332824707,16955.61719489212,14320.893799884447,16062.50906297422,16304.4852394407,15420.905378764055,12772.125212604773,11599.15277541187,13639.425682686006,12004.886515846716,12451.686762266487,14479.795598346456,0.963871565732089,,,161274855.0,1.8169572353363037
