,sta0_datasz,sta2_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta1,training_time_sta1,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,host_consumption_sta3,training_time_sta3,host_consumption_sta6,training_time_sta6,host_consumption_sta2,training_time_sta2,host_consumption_sta5,training_time_sta5,host_consumption_sta9,training_time_sta9,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta7,consumption_sta1,mean_acc
20,,,,,,,,,,,,1.0650953243204598e-07,64302204.0,0.667633056640625,62215417.0,0.6070337295532227,132933376.0,1.478029727935791,132232571.0,1.4555213451385498,112542985.0,1.0990819931030273,124887620.0,1.2566790580749512,125232895.0,1.2903952598571777,137163833.0,1.5877032279968262,,,146699087.0,1.9199700355529785,,,9002.998115765888,7659.32549998089,8598.174966613751,8471.055515361413,8433.200708907465,7335.731699115516,6784.678543296614,6770.242670362171,6353.2703422729,6796.906296270828,5963.164588800762,0.9265356334772977
21,,,,,,,,,,,,8.731362465773168e-08,63549886.0,0.5888423919677734,81078772.0,0.7207357883453369,95130616.0,0.9191486835479736,139542489.0,1.4077324867248535,,,159200825.0,1.987966537475586,156509976.0,1.8327739238739014,,,134921102.0,1.3398551940917969,136796341.0,1.3508296012878418,151893594.0,1.8272171020507812,9232.114705707669,8040.686398301163,9017.525908864656,8680.793419039663,8851.570317597467,7654.430136851432,7019.2663429079985,7056.282559476845,6522.519370817928,7084.364820016265,6169.6384441223,0.9138771566477689
22,,,,,,,,,,,,1.1994270161032952e-07,75287466.0,0.6945970058441162,72329161.0,0.6293075084686279,104584327.0,0.9835636615753174,148949021.0,1.393476963043213,,,143636290.0,1.2843072414398193,145373773.0,1.3345749378204346,137640761.0,1.2293460369110107,159651081.0,1.5920274257659912,,,156677272.0,1.5656371116638184,9877.116264865583,8418.901150547332,9392.003997428326,9017.291890006763,9292.050418492725,7997.169237771198,7196.443403983318,7474.009833004261,6791.446307186592,7393.385867067026,6312.683957411887,0.9012985229492188
23,,,,,,,,,,,,9.964893347928489e-08,62612450.0,0.6250715255737305,70164798.0,0.644158124923706,,,153623813.0,1.5785415172576904,128049294.0,1.1739940643310547,142254030.0,1.3603034019470215,174692668.0,2.06951904296875,135713276.0,1.289076328277588,161238601.0,1.7277705669403076,170570914.0,1.9574458599090576,160624222.0,1.734083652496338,10162.932504366372,8816.996727828446,9791.145804192118,9485.720068720904,9648.117263275533,8445.09305539479,7432.314707126875,7809.936166454639,7207.311399863472,7746.626515648896,6541.019762769332,0.92678471586921
24,,,,,,,,,,,,1.3040229300689925e-07,78198713.0,0.7175633907318115,83037507.0,0.7137370109558105,113409805.0,1.053255558013916,156669155.0,1.4766430854797363,138675121.0,1.2052464485168457,175857399.0,2.01446795463562,149730451.0,1.3754220008850098,166653443.0,1.6643552780151367,165942813.0,1.6260695457458496,158694601.0,1.4762682914733887,,,10621.342257855556,9058.709832834144,10049.405544020708,9883.507109038357,9893.330980038092,8810.360142144213,7669.124418039266,8114.757406495745,7490.842334367662,7979.324883569503,6762.0775295045805,0.9602374542843212
25,,,,,,,,,,,,1.0793107657742663e-07,69502996.0,0.6987349987030029,,,153938754.0,1.4933664798736572,150709392.0,1.4498801231384277,132261746.0,1.1812381744384766,143402526.0,1.3130300045013428,171391285.0,1.9636740684509277,161344863.0,1.6435537338256836,152916478.0,1.4627771377563477,154544953.0,1.4608850479125977,,,11051.907892182733,9501.68560009162,10523.31479595469,10321.04318757785,10334.175533218127,9019.997826710156,8029.463998944415,8407.94646527615,7774.987172522162,8255.050336818436,7001.749114504363,0.9567353779619391
26,,,,,,,,,,,,8.241709061449846e-08,65432572.0,0.6653892993927002,59943206.0,0.5899913311004639,82504977.0,0.8774235248565674,119934141.0,1.4913551807403564,99037649.0,1.0484964847564697,131113190.0,1.96217942237854,,,105357030.0,1.1348779201507568,,,,,118315066.0,1.5537285804748535,11322.827481151244,9903.824800231117,10975.702358733248,10598.76830914709,10731.56782981358,9319.539048387955,8298.34434643426,8597.22444532976,7945.168029865408,8493.890657645186,7228.981688156675,0.938335884701122
27,,,,,,,,,,,,1.2738742399430085e-07,75844838.0,0.7035109996795654,78557599.0,0.6921114921569824,111319600.0,1.047616958618164,104994788.0,0.9803540706634521,137090103.0,1.2515921592712402,148192919.0,1.3937864303588867,171255971.0,1.913931131362915,145751763.0,1.3638930320739746,163141123.0,1.6865513324737549,172214220.0,1.9693782329559326,,,11792.389496936587,10326.854593076641,11328.417823543738,10994.963975949819,11156.518522187458,9775.29934949163,8478.682699353509,8942.430239889258,8217.812619714809,8758.866929457097,7377.650354512295,0.962330081246116
28,,,,,,,,,,,,1.219282076865786e-07,68470466.0,0.6108825206756592,70624698.0,0.60302734375,99007193.0,0.9291341304779053,92892585.0,0.855182409286499,118436831.0,1.1824402809143066,,,,,146601981.0,1.6787230968475342,134961935.0,1.4113755226135254,156935023.0,1.9745421409606934,145120723.0,1.7038624286651611,12128.734221490242,10568.180059902823,11770.047245330521,11437.847564706364,11421.405246771108,10078.422427380494,8860.66183249862,9166.63749190115,8534.095256846153,8917.45308976432,7747.778208825076,0.9625847881490533
29,,,,,,,,,,,,1.0659478659203304e-07,63646932.0,0.6208310127258301,72857540.0,0.6569790840148926,153188450.0,1.5526435375213623,153717685.0,1.5403978824615479,131374359.0,1.1922743320465088,171819872.0,2.0218663215637207,141952518.0,1.3563778400421143,141676273.0,1.3256819248199463,,,172141100.0,2.0136168003082275,156011930.0,1.600860357284546,12513.274817292206,10990.425678695301,12226.92538256752,11692.851692278506,11860.083650172279,10517.729146358799,9158.806913805249,9523.486497933747,8703.527282741932,9188.469016009429,7990.562282607311,0.9660736864263361
