,sta0_datasz,sta1_datasz,sta10_datasz,sta2_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta3_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta1,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
24,,,,,,,,,,,,,,,,,,557058571.0,11.163812637329102,470988540,9.004165172576904,613689469,13.26046633720398,10743.372437454062,11926.189101187896,12418.313729428623,10909.320796217926,11940.06970099915,10895.450749015004,9254.702151314254,9829.767990535745,10821.765045049102,10546.817182173187,9963.390648484678,0.9285158244046298,489104889.0,9.403435945510864,611443930.0,13.168859720230103,736036201.0,20.65985369682312,515054711.0,9.959141969680786
25,,,,,,,,,,,,170305351.0,3.6538164615631104,,,,,,,394570706,9.805360794067383,487007420,12.909021377563477,11133.40607623295,12243.146443947548,12861.18647118701,11299.939217078496,12366.48207317516,11261.537323898618,9552.633340339591,10150.572572380273,11199.909597224567,10893.499661784232,10316.894795140719,0.9301425164396112,407526239.0,10.189228057861328,482986496.0,12.742391347885132,501689512.0,13.612792491912842,,
26,,,,,,,,,,,,172983566.0,3.666539430618286,,,,,,,402410286,9.744283199310303,493045247,12.780881404876709,11672.291508617185,12687.166869477176,13304.254242708703,11583.84817716552,12810.495893289786,11640.558073221826,9860.954658246506,10476.55135258249,11602.278207953454,11247.598178384975,10674.868581149307,0.9133506525646556,417573455.0,10.181307792663574,489955594.0,12.663341045379639,509303506.0,13.54626178741455,,
27,,,,,,,,,,,,,,,,,,,,360946585,8.560567855834961,498043158,14.333687543869019,12068.92585573589,13210.017122773059,13709.627818438476,11995.530171826676,13212.339733160286,11959.41736427516,10209.305698360069,10843.20341070233,11923.333101458598,11639.772346380561,11019.629266739945,0.9365756511688232,371449245.0,8.830272912979126,,,439380222.0,11.369113683700562,390003518.0,9.364590167999268
28,,,,,,,,,,,,,,,,,,458016711.0,10.975520849227905,422069110,9.995235204696655,516124106,13.038610458374023,12361.921490552877,13552.658096109908,14156.889658488528,12399.886617491507,13654.452674443466,12297.556677139546,10535.728171070807,11183.81203303116,12252.078379510758,12011.831082429746,11369.400409956785,0.9488003849983215,436005537.0,10.354655981063843,514236354.0,12.960423469543457,529857408.0,13.70919132232666,,
29,,,,,,,,,,,,,,,,,,455946953.0,10.996530532836914,417027557,9.975670576095581,516642171,13.108634948730469,12654.853092940108,13987.23945917996,14617.498815545316,12670.411449211946,14097.848503882227,12712.443334686526,10840.170929410218,11508.285175485846,12646.382493746472,12365.72001175696,11716.069665052612,0.9068082625215704,431677789.0,10.342170000076294,512163362.0,12.933851957321167,528564198.0,13.663058042526245,,
30,,,,,,,,,,,,216890802.0,3.8536746501922607,,,,,,,455396967,8.840378046035767,589058063,13.11094045639038,13049.850435720036,14380.759081057859,15026.654757741595,13084.65519760033,14493.631690307195,13093.500206361685,11180.668472076813,11872.641191020002,13030.20947191544,12760.343320813749,11995.980222546563,0.9427336020903154,473014536.0,9.218033075332642,586368799.0,12.990360975265503,559761628.0,11.928319692611694,497859687.0,9.848204612731934
31,,,,,,,,,,,,220097154.0,3.8326833248138428,,,,,,,461608315,8.882338523864746,593049751,13.199854850769043,13571.568340232532,14833.93668012328,15471.435645376523,13617.354270486952,14887.875594355985,13449.451122785511,11544.239999135396,12270.814295049508,13428.81655718598,13170.094557074395,12441.455252488558,0.9645613052628257,476366273.0,9.244989156723022,588920367.0,12.996737480163574,559849275.0,11.839418172836304,498562261.0,9.802638292312622
32,,,,,,,,,,,,,,,,,,456560781.0,10.994858980178833,416679292,9.93375015258789,517864946,13.05028247833252,14056.72551796941,15498.062234602417,16086.196832328353,14174.10592584497,15500.76741690988,13949.85134454006,12012.250993234284,12781.009446762706,13916.149402229432,13714.442811984909,12885.778480530458,0.9491717273538763,436565838.0,10.433593273162842,515326439.0,12.954240083694458,644005249.0,20.610374450683594,,
33,,,,,,,,,,,,,,,,,,457777392.0,10.984501361846924,418836696,9.923149108886719,520392711,13.149176359176636,14396.040232038209,15901.98321946539,16481.32482325203,14519.958820847445,15883.363080548124,14361.548450383112,12304.697260722174,13102.24514347978,14295.308735394638,14078.041144069075,13212.343881444234,0.9093306769024242,434853684.0,10.347867488861084,514995935.0,12.9270339012146,533391823.0,13.759187936782837,,
34,,,,,,,,,,,,195994005.0,3.7778329849243164,,,,,488624908.0,10.685557842254639,465851651,10.071271896362305,553320666,12.873823642730713,14824.897499948003,16311.31367189153,16903.168625848106,14868.574232373001,16276.281821070941,14805.202187483115,12615.4470052373,13427.07815581345,14706.18107703781,14430.649496843927,13589.905947056946,0.9175511002540588,479787345.0,10.434542894363403,548023255.0,12.65441608428955,570814700.0,13.728923082351685,,
