,sta0_datasz,sta1_datasz,sta2_datasz,sta4_datasz,sta3_datasz,sta10_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,host_consumption_sta3,training_time_sta3,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta7,consumption_sta5,consumption_sta0,consumption_sta3,consumption_sta1,consumption_sta6,mean_acc,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
34,,,,,,,,,,,,467947410,8.977116584777832,482277452,9.289206743240356,554716597.0,11.14170241355896,612633746.0,13.212743997573853,611836019,13.178523540496826,579483868,11.960233449935913,16112.077478174162,14884.79101592056,16927.523948417387,14919.920132443296,16797.87806037231,13793.506733286842,14865.48879831282,13470.06254383822,14594.401543945416,12792.371456031133,14922.129190946616,0.9397738142447039,515612938.0,10.018235445022583,,
35,,,,,,,,,,,,400170484,9.741601943969727,412316694,10.090372323989868,,,625004870.0,20.608116626739502,491782127,12.7721688747406,506810043,13.47896695137024,16720.69925080296,15557.86369058812,17457.700836770437,15504.887381665705,17397.16890148918,14323.614123712716,15452.459672385474,13893.874663881927,15137.587978446998,13183.041028002854,15428.534752035817,0.9511366107247092,,,174922160.0,3.7049105167388916
36,,,,,,,,,,,,418635464,9.926475286483765,431928399,10.26061725616455,455483270.0,10.933173418045044,515306543.0,12.99453353881836,514997095,12.983180046081543,528191702,13.591787815093994,17120.654178139375,15955.122865446187,17894.971943885936,15770.224847011317,17726.34736441488,14667.520924183771,15861.641494310814,14218.147310659464,15490.683931935726,13480.469423716067,15755.971613163076,0.9265467687086626,,,,
37,,,,,,,,,,,,422510088,8.801258325576782,437399881,9.145988464355469,493292927.0,10.827033758163452,,,545710761,13.20589280128479,514958215,11.685720920562744,17546.797651145585,16245.566614261737,18319.057599611257,16194.951780592663,18157.450806232293,15012.018513969508,16211.834157539328,14594.18915633026,15888.496373519505,13837.104275042302,16158.906094544289,0.9434103532270952,455509881.0,9.593809366226196,,
38,,,,,,,,,,,,423095535,8.842294692993164,434930405,9.116656303405762,491235376.0,10.814462900161743,,,542331254,13.210842370986938,512424103,11.68541145324707,17891.528641301258,16543.41408774823,18752.851566169033,16742.405535152837,18585.165183904966,15355.494556759331,16508.103028205067,14989.010869229089,16309.043233016124,14228.63561073789,16556.42369497201,0.9606944701888345,453363646.0,9.561424732208252,,
39,,,,,,,,,,,,476961060,10.380692720413208,478843867,10.427235841751099,483205367.0,10.546073913574219,545944281.0,12.7041015625,544331554,12.650408506393433,566493545,13.681825876235962,18347.31865879358,16951.251669118254,19168.095284147865,17159.411794515523,18995.513317411416,15734.171081185197,16854.36428694473,15335.583191351092,16691.71839376992,14556.82114489419,17000.35192858818,0.9715657830238342,,,202140718.0,3.839972972869873
40,,,,,,,,,,,,398676957,9.76894474029541,413014811,10.191710948944092,,,491295129.0,12.872502565383911,487119969,12.716715812683105,505231616,13.524915218353271,18790.81130890337,17500.875433703517,19622.47718064299,17441.31487300503,19370.81124653239,16088.050051847658,17258.705587800974,15659.43047825253,17048.830489026896,14869.430543012479,17380.671714754037,0.9340744885531339,,,171692858.0,3.680776357650757
41,,,,,,,,,,,,352723950,9.739184141159058,363277268,10.054640531539917,,,457568714.0,13.2973792552948,454611201,13.194278001785278,459753278,13.390758037567139,19193.338016098198,17922.514248945598,20073.438885987143,17726.305765472815,19808.01737071417,16350.124988865891,17632.728146939437,15986.60242416032,17403.466159493728,15175.331929836155,17705.390702966994,0.9305212877013467,,,,
42,,,,,,,,,,,,416595857,9.94727110862732,431498041,10.326047897338867,452902893.0,10.940208911895752,513648404.0,12.97027325630188,513333097,12.956155776977539,527423332,13.626414775848389,19590.651815026256,18280.707183314236,20529.69047906309,17993.017000529424,20198.487531085626,16687.037303321646,18038.90803282503,16312.772711021413,17757.422148292608,15482.794967895792,17994.26619918486,0.9235980185595426,,,,
43,,,,,,,,,,,,467112207,9.014589548110962,484384746,9.359483480453491,552660024.0,11.125967264175415,731448750.0,20.626440286636353,607967682,13.16234827041626,581351966,12.062433004379272,20207.26011905421,18730.211971611796,21152.08471032927,18637.379129084602,20842.02453176027,17202.621767766366,18541.619911888578,16853.576112914947,18326.535986375344,16008.904150077877,18603.43859130773,0.9514660997824236,511350253.0,9.952577829360962,,
44,,,,,,,,,,,,474988835,9.023158550262451,494984512,9.4270601272583,560451934.0,11.148132801055908,617397711.0,13.202653884887695,616734078,13.173234462738037,589153399,12.060667753219604,20605.00201365491,19061.49881858998,21572.559324941416,19170.90206937379,21230.22206682562,17536.540258326884,18914.76062395435,17219.80930674901,18741.152983526823,16335.773801902651,19016.949253725856,0.970911827954379,518128435.0,9.955116748809814,,
45,,,,,,,,,,,,415986728,9.945446252822876,638790540,20.570539951324463,451324162.0,10.923429489135742,513571256.0,13.022023439407349,512791595,12.994158506393433,526211299,13.624714851379395,21182.30376800179,19568.976466994696,22165.0916633349,19635.91335034331,21853.610507617814,18055.719988695368,19487.828933170516,17649.410097262396,19194.880150337125,16758.39715736826,19630.680798480775,0.9607226848602295,,,,
46,,,,,,,,,,,,353830515,9.738789558410645,365143963,10.086379766464233,,,460050336.0,13.418632507324219,455614984,13.235316276550293,575728385,20.60191583633423,21690.20061279411,19927.654030241338,22706.429611975786,20037.862117626748,22350.370428789476,18469.383002092178,19947.66413729469,18123.38084659645,19722.100375432612,17201.83687768894,20049.729668026,0.925513977354223,,,,
47,,,,,,,,,,,,397253073,9.815730571746826,409375600,10.174596071243286,,,488260774.0,12.817822933197021,488242280,12.82197880744934,501450437,13.461950778961182,22075.711652661754,20332.091893785862,23115.090081272137,20367.807753922043,22736.015005652418,18818.38501408753,20314.932797250574,18443.30163747012,20071.10712017885,17503.533983035195,20345.193241048793,0.9312465786933899,,,172048632.0,3.6943984031677246
48,,,,,,,,,,,,518663590,9.159493207931519,534492284,9.495657920837402,781957410.0,20.6415376663208,650587262.0,12.987859010696411,653248083,13.098987579345703,631599885,12.226280689239502,22672.53822043792,21124.5716577326,23703.359239252073,21073.185023863858,23306.88310221123,19369.166720429148,20911.217558315428,18984.25222757291,20640.994026171866,18007.41931053251,20931.712582483575,0.9594041271643206,563356163.0,10.107704401016235,310223449.0,5.252885341644287
49,,,,,,,,,,,,417759734,9.876676082611084,436285016,10.337751626968384,457617053.0,10.945635080337524,518867141.0,13.035556077957153,517380389,12.986333131790161,529410693,13.55755066871643,23080.14304766348,21602.388779068366,24110.097212532266,21462.076451108092,23699.691311249077,19704.099813874785,21300.62091102051,19311.643518858906,21014.999826297077,18299.5246374554,21361.814749790956,0.9600627205588601,,,,
50,,,,,,,,,,,,351463090,9.688277006149292,364939191,10.114801168441772,,,461069926.0,13.469853162765503,455338068,13.233703374862671,459616194,13.391981601715088,23471.549283773136,21976.253048981893,24527.28636578498,21802.582933634883,24093.67357773121,20033.305604555262,21682.489424242285,19638.66106630325,21279.244672169232,18598.844849240282,21762.429243783576,0.9270797859538685,,,,
