,sta0_datasz,sta10_datasz,sta2_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta6_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta7,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
45,,,,,,,,,,,,,,563644980.0,11.316048622131348,,,613737015.0,13.174354791641235,617667303,13.363914728164673,19756.185247209676,18086.488975949833,20240.013410531472,17857.239668624745,20097.496525996157,17923.59357012568,17839.874178558217,17482.504605905993,16170.652881755745,16672.162560191086,15160.843295726623,0.9509447542103854,470778580.0,9.038140058517456,490741724.0,9.434231758117676,588522236.0,12.149928569793701,521045297.0,10.11017656326294,,
46,,,,,,,,,,,,,,568658640.0,11.25137710571289,,,621234128.0,13.143309116363525,622769463,13.205256938934326,20190.885975064193,18388.59715011353,20724.977845390356,18401.688693178694,20525.44495324138,18341.502730212236,18219.799058767912,17888.770962793576,16542.134729687503,17022.720603645696,15537.835455868642,0.9639240936799482,473583077.0,8.985594749450684,495004958.0,9.408409833908081,593972723.0,12.065030097961426,537246489.0,10.38451099395752,,
47,,,,,,,,,,,,,,642263798.0,20.60647749900818,,,515541466.0,12.979576349258423,517260516,13.04506540298462,20688.99733545028,18827.74329643713,21416.444349635527,18951.057918068575,21100.47587173719,18866.76185252886,18700.010321222126,18431.580194276194,17040.358364673313,17464.926044002048,16007.550028643587,0.9509897665543989,418704616.0,9.926488161087036,434768968.0,10.35055685043335,529774950.0,13.638261318206787,,,,
48,,,,,,,,,,,,,,,,,,485743508.0,12.732288837432861,490664943,12.934512615203857,21078.645053226657,19167.688539169296,21817.211898135774,19218.262906605618,21517.92041208709,19259.512435140492,19097.106743845685,18786.8497633578,17356.579044773633,17812.62048108999,16300.883215643524,0.9263501546599648,396528526.0,9.796325445175171,416019199.0,10.37582516670227,502534846.0,13.533078908920288,,,172448289.0,3.688049077987671
49,,,,,,,,,,,,,,,,,,592291331.0,13.101571083068848,594240727,13.20748233795166,21519.44323459592,19698.555747805425,22244.945249590415,19677.19141477661,21932.191965913687,19605.760446973694,19495.106150992342,19191.36478646452,17734.82026518316,18166.781599171118,16638.491647530114,0.9571734124963934,457760730.0,8.861994981765747,475210149.0,9.253169298171997,560932707.0,11.878760814666748,498691534.0,9.849088907241821,217733147.0,3.878354549407959
50,,,,,,,,,,,,,,454278012.0,11.05792236328125,,,510472265.0,12.984243392944336,511557407,13.023911237716675,21965.95890587941,20175.191855189045,22649.913201962954,20077.888864393983,22315.0714068531,19966.523155410625,19874.489994849257,19551.87263821187,18083.03537473631,18512.53527720383,16937.269110943296,0.9603153196248141,412218671.0,9.915295839309692,430321103.0,10.385812044143677,526170040.0,13.733381271362305,,,,
51,,,,,,,,,,,,,,452237551.0,11.075924158096313,,,507729230.0,12.93639326095581,512506257,13.120368003845215,22365.61830161593,20542.823885027912,23053.242798468502,20348.856545659644,22690.348877270357,20378.364016121057,20253.968648152862,19811.732635578763,18411.05064505857,18871.664585417493,17235.898354318895,0.9278308315710588,410536729.0,9.889529705047607,431104548.0,10.457948446273804,525892452.0,13.773502588272095,,,,
52,,,,,,,,,,,,,,,,,,558096228.0,13.59790849685669,555552228,13.498595237731934,22751.064517274193,20890.495352614103,23429.341686642252,20763.588533931976,23083.36245016694,20727.556652184074,20628.590367284844,20187.181003403548,18759.355301763026,19214.483080091293,17577.254685631695,0.9494876373897899,416795625.0,8.799310207366943,430548458.0,9.119001150131226,513096709.0,11.743630409240723,472878733.0,10.398344039916992,,
53,,,,,,,,,,,,,,458387804.0,11.118102788925171,,,640689705.0,20.629860639572144,514834498,13.060245990753174,23273.73743086872,21333.723476462124,23946.256343591544,21361.55072558305,23560.137398163064,21274.44128275283,21205.10909857105,20740.89904793935,19171.731624788194,19733.019791875093,17977.8537830346,0.9654154614968733,413359354.0,9.90730333328247,433441639.0,10.407840013504028,529550769.0,13.740842580795288,,,,
54,,,,,,,,,,,,,,,,,,460504131.0,13.472706079483032,458277574,13.389332294464111,23696.876944405045,21607.872570850566,24383.953064350346,21630.591928904876,23971.68407539445,21614.379831681366,21580.45631963909,21096.263436228688,19485.369209473116,19974.834000184554,18277.58435905268,0.9317768324505199,353396495.0,9.784700155258179,371192226.0,10.332249164581299,460683940.0,13.479597806930542,,,,
