,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta1_datasz,sta9_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta0,consumption_sta1,consumption_sta10,consumption_sta6,consumption_sta2,consumption_sta3,consumption_sta5,consumption_sta9,consumption_sta7,mean_acc,host_consumption_sta4,training_time_sta4,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,host_consumption_sta5,training_time_sta5
41,,,,,,,,,,,,188212104,4.174679279327393,,,671678700,20.587711572647095,27452.842994778668,31549.60394569841,37866.17700025013,37815.35758226921,32632.804016389546,25689.1250467763,37912.64655091239,23918.086776405915,24050.995464690845,31079.964570607666,21600.916803526634,0.9877685091712258,,,437972817.0,10.458594799041748,,,503710380.0,12.377565622329712,503302667.0,12.372492790222168
42,,,,,,,,,,,,189467106,4.311769723892212,,,511806551,12.86933946609497,27992.920198926535,32146.864385926892,38659.97648159389,38505.57854933311,33258.19646801298,26287.93034333124,38648.07620762108,24360.54783949751,24521.35162834698,31648.63168823185,22065.35574519,0.9876306219534441,,,434438158.0,10.453628063201904,,,501169921.0,12.44137167930603,500755493.0,12.425477981567383
43,,,,,,,,,,,,188375189,4.227537393569946,,,514176906,12.889594793319702,28939.31297397891,33031.131898029096,39840.26759431064,39640.09038905,34339.988726798976,26990.68925648233,39699.008966522764,25089.385787451043,25174.672775284656,32728.570216115822,22691.507453369966,0.9878935272043402,,,437183939.0,10.489372491836548,,,671308646.0,20.5815851688385,505237964.0,12.497406721115112
44,,,,,,,,,,,,189848879,4.295080900192261,,,675028301,20.586445093154907,29676.776718080197,34007.33499844202,40953.51464184892,40520.83706129441,35406.15057036574,27822.43819880396,40530.6343551011,25712.897896156515,25962.621235209426,33704.63554373339,23345.596983537776,0.9878237735141407,,,439080846.0,10.505259275436401,,,502871088.0,12.373627662658691,503690239.0,12.395612955093384
45,,,,,,,,,,,,188015327,4.209835052490234,,,672188831,20.582059144973755,30460.215046498564,35129.442019009155,42317.78041214285,41712.76503430823,36372.15787487999,28566.945657904158,41720.02008889108,26527.604725569574,26754.849376059283,34587.87660737521,23909.115759236294,0.9879241152243181,,,437138041.0,10.418802499771118,,,503063959.0,12.353824853897095,505994310.0,12.450406312942505
46,,,,,,,,,,,,187819282,4.2243287563323975,,,514254054,12.727927923202515,31060.621254493162,35707.537670507336,43088.42474015086,42570.74557782155,37000.69452969132,29049.661164964804,42505.22037150888,26965.123124708163,27193.777183705664,35300.98263283547,24378.754911902717,0.9875492020086809,,,439803622.0,10.470601320266724,,,503850212.0,12.34716272354126,507683027.0,12.465100288391113
47,,,,,,,,,,,,191427061,4.270777463912964,,,671375295,20.589776277542114,31809.40437088192,36737.9834765235,44300.613554168696,43894.23297424521,38026.048366367904,29801.34992964375,43863.96828434344,27721.629531943512,27972.796510893244,36172.91238687795,25008.056720293,0.9878058704462919,,,441220978.0,10.501576900482178,,,502199887.0,12.322530031204224,504137809.0,12.380451440811157
48,,,,,,,,,,,,190687378,4.283507347106934,,,669730219,20.590298414230347,32698.84724062873,37640.47454822275,45477.57034525642,44989.566834104524,39041.28922923749,30651.725364957718,44814.15801461252,28329.313935374932,28639.38897647406,37055.693275865044,25714.141523211827,0.9879020289941267,,,436590252.0,10.499440670013428,,,500462647.0,12.392505168914795,499937747.0,12.378348112106323
49,,,,,,,,,,,,187993537,4.217987775802612,,,670600761,20.590778589248657,33397.4431215602,38617.61578840306,46590.649055619055,46254.56583017071,39946.762489314555,31519.234399522324,46060.92511066005,29090.801133489196,29396.9514248815,37870.44080423023,26379.67865178497,0.9882474812594327,,,436516583.0,10.461939334869385,,,501285765.0,12.356502532958984,504091361.0,12.443753004074097
50,,,,,,,,,,,,189822146,4.269104719161987,,,512636872,12.799088954925537,34283.01147601298,39509.49642241163,47895.060083953256,47432.56477751271,41044.487679295045,32250.227478710203,47284.08898276293,29781.6656660566,30070.424551621745,38938.06317077186,27038.15735804662,0.988132590597326,,,438290016.0,10.533443927764893,,,501698789.0,12.36218523979187,672443042.0,20.60779047012329
