,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta3_datasz,sta9_datasz,host_consumption_sta10,training_time_sta10,host_consumption_sta1,training_time_sta1,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,consumption_sta4,consumption_sta0,consumption_sta8,consumption_sta2,consumption_sta10,consumption_sta6,consumption_sta5,consumption_sta7,consumption_sta9,consumption_sta3,consumption_sta1,mean_acc,host_consumption_sta2,training_time_sta2
61,,,,,,,,,,,,415406163.0,7.287265300750732,487584384,8.720122337341309,553538012,10.478375434875488,578483016,11.32193112373352,52251.70815443412,49121.47393987829,48324.06536413355,41593.986823388805,44057.93637846358,52499.32214872136,51869.643932793275,52291.44817945293,42139.72640357832,32376.75407392267,28956.28149574938,0.9896627176891674,518483780.0,9.398999691009521
62,,,,,,,,,,,,415235265.0,7.291203498840332,548950804,10.33661150932312,552231924,10.44651484489441,577376635,11.295770168304443,53046.47061379442,49982.4743545305,48991.12874343872,42197.978184868,44685.023188886844,53226.65075547654,52646.2099136384,52949.96735351723,42742.10519997025,32853.23339928377,29432.176224928822,0.9895082007754933,516470846.0,9.403281927108765
63,,,,,,,,,,,,414680030.0,7.235959529876709,487417453,8.700945138931274,556136516,10.480244874954224,792089281,20.619762897491455,54492.22763228029,51284.13354946,50248.48955949339,43408.716805116936,45897.776307973225,54499.75179047057,53971.9183914685,54176.5662142988,43886.17653994879,33710.1842123695,30223.76450762282,0.9896707859906283,519107192.0,9.405841827392578
64,,,,,,,,,,,,420239891.0,7.34801459312439,490378200,8.772037506103516,555660931,10.479976177215576,578789106,11.304849624633789,55278.11839992587,52028.25893560353,50976.53980558677,44009.426966428065,46568.146473528206,55295.0970371068,54808.43318758185,54972.33645100535,44489.33947004521,34237.123449824925,30619.575728130527,0.9892914078452371,517865862.0,9.389034271240234
65,,,,,,,,,,,,413014140.0,7.249049663543701,487151890,8.767492055892944,553993944,10.479740858078003,575051079,11.231262445449829,56305.040039222615,52723.25212323712,51748.98117903302,44666.93672299379,47224.025164384446,56090.82745290019,55764.72539538636,55792.9320403083,45101.071463089,34743.922605858315,31046.101097791015,0.9896917505697771,516275289.0,9.416570901870728
66,,,,,,,,,,,,413649087.0,7.2801713943481445,549232725,10.34694766998291,553701097,10.49960708618164,577648180,11.294720649719238,57166.62907999436,53503.52237670186,52540.62359573812,45281.52179343583,47864.6480900548,57099.321621916446,56627.68672498276,56761.57927532141,45729.008352541554,35258.96703066313,31505.688637926814,0.9897331595420837,515861167.0,9.366448640823364
67,,,,,,,,,,,,415438756.0,7.290294408798218,489488249,8.764890670776367,554261155,10.48196029663086,578484054,11.280017614364624,58034.26386993994,54329.63791500282,53296.134243653076,45907.55752160483,48774.78205892933,57973.82281012874,57505.3611081162,57556.675953878635,46595.116985566194,35761.912475119796,31992.758573988474,0.9896646738052368,518398575.0,9.404824018478394
68,,,,,,,,,,,,414256996.0,7.249155521392822,489777676,8.745932817459106,556373148,10.471424579620361,581024941,11.31099247932434,58916.77498807666,55243.76498409431,53983.36558968974,46733.60461554108,49440.84356670646,58737.26667367884,58317.97647629996,58288.47684784162,47222.373971163564,36308.80964358667,32557.047075150113,0.9895319992845709,519233717.0,9.413620948791504
69,,,,,,,,,,,,418057401.0,7.287757635116577,552475942,10.318093299865723,556365641,10.453872680664062,577770005,11.229422807693481,59943.774139661065,55993.864650184674,54794.62876180836,47443.98365739154,50138.53158767338,59556.562970579755,59158.41520440735,59079.641608490994,47925.56127909364,36936.92920054332,32999.985786341065,0.9895765076984059,520419444.0,9.425044775009155
70,,,,,,,,,,,,415213536.0,7.279352188110352,488193209,8.776700496673584,554509079,10.473292350769043,788939631,20.585987091064453,61142.647560887985,57370.06821723916,55997.53364933288,48457.27424284226,51311.705265781275,60944.92569611343,60562.830240416966,60412.37814447613,49047.340809802445,37756.862315491024,33689.48464021161,0.9898368716239929,518004960.0,9.414268970489502
